metric_scope,target_class,threshold,N,TP,FP,TN,FN,precision,recall,specificity,NPV,accuracy,F1,balanced_accuracy,MCC,false_positive_rate,false_negative_rate,predicted_positive_n,predicted_negative_n,predicted_positive_rate,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,specificity_ci_low,specificity_ci_high,NPV_ci_low,NPV_ci_high,accuracy_ci_low,accuracy_ci_high,false_positive_rate_ci_low,false_positive_rate_ci_high,false_negative_rate_ci_low,false_negative_rate_ci_high,predicted_positive_rate_ci_low,predicted_positive_rate_ci_high
validation_sample,human,0.05,809,97,97,604,11,0.5,0.8981481481481481,0.8616262482168331,0.9821138211382113,0.8665018541409147,0.6423841059602649,0.8798871981824906,0.6052253608652722,0.1383737517831669,0.10185185185185185,194,615,0.23980222496909764,0.43032781311103535,0.5696721868889647,0.8267749385359173,0.9421706824066391,0.8340881624950062,0.8852225330595477,0.9682583657773701,0.9899838326849962,0.8413244722824367,0.8882150874496053,0.1147774669404523,0.1659118375049937,0.05782931759336082,0.1732250614640827,0.21165434047609444,0.2704094796804153
validation_sample,human,0.1,809,91,58,643,17,0.610738255033557,0.8425925925925926,0.9172610556348074,0.9742424242424242,0.907292954264524,0.7081712062256811,0.8799268241136999,0.666708109512999,0.08273894436519258,0.1574074074074074,149,660,0.1841779975278121,0.53060554577487,0.6853044583210339,0.7623129098457861,0.899337973290832,0.8945223984160304,0.9354514810699932,0.9591391701771965,0.9838570703891596,0.8853376910287619,0.9253985144744684,0.06454851893000664,0.1054776015839695,0.10066202670916788,0.23768709015421371,0.15898096986914578,0.21236015150847054
validation_sample,human,0.2,809,91,38,663,17,0.7054263565891473,0.8425925925925926,0.9457917261055635,0.975,0.9320148331273177,0.767932489451477,0.894192159349078,0.7324189167162488,0.05420827389443652,0.1574074074074074,129,680,0.15945611866501855,0.6217403648124402,0.7772314657479122,0.7623129098457861,0.899337973290832,0.9264704492236541,0.9602537809964568,0.9603298000883369,0.984333603493609,0.9125484357913055,0.9473978580580998,0.03974621900354319,0.07352955077634589,0.10066202670916788,0.23768709015421371,0.13584627048406914,0.1862847625473724
validation_sample,human,0.25,809,91,33,668,17,0.7338709677419355,0.8425925925925926,0.9529243937232525,0.9751824817518249,0.9381953028430161,0.7844827586206897,0.8977584931579226,0.7510419850302182,0.047075606276747506,0.1574074074074074,124,685,0.15327564894932014,0.6499148550667715,0.8037720829190407,0.7623129098457861,0.899337973290832,0.9346261175814314,0.9662857003222012,0.9606166949053923,0.9844483729180817,0.9194413927035792,0.95280742323237,0.03371429967779878,0.06537388241856854,0.10066202670916788,0.23768709015421371,0.1300942827159801,0.1797342282289177
validation_sample,human,0.3,809,88,29,672,20,0.7521367521367521,0.8148148148148148,0.9586305278174037,0.9710982658959537,0.9394313967861557,0.7822222222222222,0.8867226713161092,0.7479189503722479,0.04136947218259629,0.18518518518518517,117,692,0.1446229913473424,0.6667224221025372,0.8215206078624093,0.7312030524810644,0.8768004617525846,0.9412182537419695,0.9710436343084803,0.9557811078476864,0.9812139385598727,0.9208252813160221,0.9538840390372357,0.02895636569151961,0.05878174625803028,0.12319953824741527,0.2687969475189354,0.12206499212156958,0.17053998790216704
validation_sample,human,0.5,809,81,14,687,27,0.8526315789473684,0.75,0.9800285306704708,0.9621848739495799,0.9493201483312732,0.7980295566502463,0.8650142653352354,0.7712582303447295,0.019971469329529243,0.25,95,714,0.11742892459826947,0.7677140150925396,0.9101391934638322,0.6607046489100945,0.822121671216627,0.9667578769095785,0.988066774191437,0.9455401233100319,0.9738829496959228,0.9319690104908595,0.9624243452008684,0.011933225808562998,0.033242123090421564,0.17787832878337295,0.3392953510899055,0.09703187929389955,0.14144200354904474
validation_sample,human,0.7,809,69,4,697,39,0.9452054794520548,0.6388888888888888,0.9942938659058488,0.9470108695652174,0.9468479604449939,0.7624309392265194,0.8165913773973688,0.7516222493671003,0.005706134094151213,0.3611111111111111,73,736,0.09023485784919653,0.8674100245784025,0.9784875025843028,0.5449722923436943,0.7232645521711508,0.9854210017960857,0.9977788246719731,0.928382139795656,0.9609975944096301,0.9291700974019387,0.9603022494551717,0.002221175328026805,0.014578998203914215,0.276735447828849,0.45502770765630557,0.07237956534446793,0.11196322031768399
validation_sample,human,0.9,809,34,1,700,74,0.9714285714285714,0.3148148148148148,0.9985734664764622,0.9043927648578811,0.907292954264524,0.4755244755244756,0.6566941406456385,0.5239008907198393,0.0014265335235378032,0.6851851851851852,35,774,0.04326328800988875,0.8546691276638634,0.9949385081445559,0.23486550444655255,0.4074853695336538,0.9919642416731566,0.9997481374050153,0.8816347675030561,0.9231564825661996,0.8853376910287619,0.9253985144744684,0.00025186259498456275,0.008035758326843393,0.5925146304663463,0.7651344955534475,0.031269979445375726,0.059573638359044
validation_sample,vehicle,0.01,807,97,176,531,3,0.3553113553113553,0.97,0.751060820367751,0.9943820224719101,0.7781908302354399,0.5201072386058981,0.8605304101838755,0.5021455903038194,0.24893917963224893,0.03,273,534,0.3382899628252788,0.30090500783846696,0.4137331090948533,0.9154806357094724,0.9897454759759611,0.7178883870212494,0.7815197378072531,0.9836143540028243,0.9980875794214358,0.7482460100446957,0.8054997254694152,0.21848026219274688,0.28211161297875076,0.010254524024038925,0.08451936429052759,0.30648151428457315,0.37163065282192354
validation_sample,vehicle,0.05,807,91,107,600,9,0.4595959595959596,0.91,0.8486562942008486,0.9852216748768473,0.8562577447335812,0.610738255033557,0.8793281471004244,0.5809162574453631,0.15134370579915135,0.09,198,609,0.24535315985130113,0.39160784614192096,0.5291220173188184,0.837737871472837,0.9519274599974348,0.8203591263911055,0.8731851145679134,0.9721543870971988,0.9922059568280895,0.8303633824105504,0.8787764793280105,0.12681488543208672,0.17964087360889444,0.04807254000256516,0.16226212852716307,0.21691755828133033,0.2762016014151071
